region,short_name,diff,kind,lag,value,lo,hi
Portugal,Portugal,1,ACF,0,1.0,0.0,0.0
Portugal,Portugal,1,ACF,1,0.6894,-0.1453,0.1453
Portugal,Portugal,1,ACF,2,0.6135,-0.2029,0.2029
Portugal,Portugal,1,ACF,3,0.4324,-0.2389,0.2389
Portugal,Portugal,1,ACF,4,0.5444,-0.2548,0.2548
Portugal,Portugal,1,ACF,5,0.5326,-0.2783,0.2783
Portugal,Portugal,1,ACF,6,0.5359,-0.2991,0.2991
Portugal,Portugal,1,ACF,7,0.5163,-0.3187,0.3187
Portugal,Portugal,1,ACF,8,0.4558,-0.3359,0.3359
Portugal,Portugal,1,ACF,9,0.395,-0.3487,0.3487
Portugal,Portugal,1,ACF,10,0.3439,-0.358,0.358
Portugal,Portugal,1,ACF,11,0.3727,-0.3649,0.3649
Portugal,Portugal,1,ACF,12,0.3959,-0.3729,0.3729
Portugal,Portugal,1,ACF,13,0.3907,-0.3816,0.3816
Portugal,Portugal,1,ACF,14,0.3925,-0.39,0.39
Portugal,Portugal,1,ACF,15,0.2981,-0.3982,0.3982
Portugal,Portugal,1,ACF,16,0.2729,-0.4029,0.4029
Portugal,Portugal,1,ACF,17,0.1799,-0.4068,0.4068
Portugal,Portugal,1,ACF,18,0.2062,-0.4085,0.4085
Portugal,Portugal,1,ACF,19,0.1622,-0.4107,0.4107
Portugal,Portugal,1,ACF,20,0.2168,-0.412,0.412
Portugal,Portugal,1,ACF,21,0.202,-0.4144,0.4144
Portugal,Portugal,1,ACF,22,0.2164,-0.4165,0.4165
Portugal,Portugal,1,ACF,23,0.122,-0.4188,0.4188
Portugal,Portugal,1,ACF,24,0.1133,-0.4196,0.4196
Portugal,Portugal,1,PACF,0,1.0,0.0,0.0
Portugal,Portugal,1,PACF,1,0.6932,-0.1453,0.1453
Portugal,Portugal,1,PACF,2,0.2692,-0.1453,0.1453
Portugal,Portugal,1,PACF,3,-0.127,-0.1453,0.1453
Portugal,Portugal,1,PACF,4,0.422,-0.1453,0.1453
Portugal,Portugal,1,PACF,5,0.1535,-0.1453,0.1453
Portugal,Portugal,1,PACF,6,-0.0418,-0.1453,0.1453
Portugal,Portugal,1,PACF,7,0.2374,-0.1453,0.1453
Portugal,Portugal,1,PACF,8,-0.0744,-0.1453,0.1453
Portugal,Portugal,1,PACF,9,-0.156,-0.1453,0.1453
Portugal,Portugal,1,PACF,10,0.0649,-0.1453,0.1453
Portugal,Portugal,1,PACF,11,0.0478,-0.1453,0.1453
Portugal,Portugal,1,PACF,12,0.0134,-0.1453,0.1453
Portugal,Portugal,1,PACF,13,0.0434,-0.1453,0.1453
Portugal,Portugal,1,PACF,14,0.1407,-0.1453,0.1453
Portugal,Portugal,1,PACF,15,-0.2123,-0.1453,0.1453
Portugal,Portugal,1,PACF,16,-0.0301,-0.1453,0.1453
Portugal,Portugal,1,PACF,17,-0.0769,-0.1453,0.1453
Portugal,Portugal,1,PACF,18,-0.1426,-0.1453,0.1453
Portugal,Portugal,1,PACF,19,-0.0643,-0.1453,0.1453
Portugal,Portugal,1,PACF,20,0.155,-0.1453,0.1453
Portugal,Portugal,1,PACF,21,0.0516,-0.1453,0.1453
Portugal,Portugal,1,PACF,22,0.0608,-0.1453,0.1453
Portugal,Portugal,1,PACF,23,-0.0698,-0.1453,0.1453
Portugal,Portugal,1,PACF,24,0.0464,-0.1453,0.1453
Portugal,Portugal,2,ACF,0,1.0,0.0,0.0
Portugal,Portugal,2,ACF,1,-0.3721,-0.1457,0.1457
Portugal,Portugal,2,ACF,2,0.1658,-0.1646,0.1646
Portugal,Portugal,2,ACF,3,-0.4823,-0.1681,0.1681
Portugal,Portugal,2,ACF,4,0.1839,-0.1953,0.1953
Portugal,Portugal,2,ACF,5,-0.0181,-0.1989,0.1989
Portugal,Portugal,2,ACF,6,0.0367,-0.199,0.199
Portugal,Portugal,2,ACF,7,0.0859,-0.1991,0.1991
Portugal,Portugal,2,ACF,8,-0.0236,-0.1999,0.1999
Portugal,Portugal,2,ACF,9,-0.0025,-0.2,0.2
Portugal,Portugal,2,ACF,10,-0.1235,-0.2,0.2
Portugal,Portugal,2,ACF,11,0.0105,-0.2016,0.2016
Portugal,Portugal,2,ACF,12,0.0133,-0.2016,0.2016
Portugal,Portugal,2,ACF,13,-0.0101,-0.2016,0.2016
Portugal,Portugal,2,ACF,14,0.1758,-0.2016,0.2016
Portugal,Portugal,2,ACF,15,-0.0771,-0.2048,0.2048
Portugal,Portugal,2,ACF,16,0.0911,-0.2055,0.2055
Portugal,Portugal,2,ACF,17,-0.2131,-0.2063,0.2063
Portugal,Portugal,2,ACF,18,0.1082,-0.2109,0.2109
Portugal,Portugal,2,ACF,19,-0.1572,-0.2121,0.2121
Portugal,Portugal,2,ACF,20,0.1279,-0.2146,0.2146
Portugal,Portugal,2,ACF,21,-0.0286,-0.2162,0.2162
Portugal,Portugal,2,ACF,22,0.1714,-0.2163,0.2163
Portugal,Portugal,2,ACF,23,-0.1455,-0.2191,0.2191
Portugal,Portugal,2,ACF,24,-0.0268,-0.2212,0.2212
Portugal,Portugal,2,PACF,0,1.0,0.0,0.0
Portugal,Portugal,2,PACF,1,-0.3742,-0.1457,0.1457
Portugal,Portugal,2,PACF,2,0.0322,-0.1457,0.1457
Portugal,Portugal,2,PACF,3,-0.4862,-0.1457,0.1457
Portugal,Portugal,2,PACF,4,-0.2129,-0.1457,0.1457
Portugal,Portugal,2,PACF,5,-0.0085,-0.1457,0.1457
Portugal,Portugal,2,PACF,6,-0.2858,-0.1457,0.1457
Portugal,Portugal,2,PACF,7,0.0392,-0.1457,0.1457
Portugal,Portugal,2,PACF,8,0.0913,-0.1457,0.1457
Portugal,Portugal,2,PACF,9,-0.1063,-0.1457,0.1457
Portugal,Portugal,2,PACF,10,-0.0424,-0.1457,0.1457
Portugal,Portugal,2,PACF,11,-0.0516,-0.1457,0.1457
Portugal,Portugal,2,PACF,12,-0.1203,-0.1457,0.1457
Portugal,Portugal,2,PACF,13,-0.1788,-0.1457,0.1457
Portugal,Portugal,2,PACF,14,0.173,-0.1457,0.1457
Portugal,Portugal,2,PACF,15,0.0182,-0.1457,0.1457
Portugal,Portugal,2,PACF,16,0.068,-0.1457,0.1457
Portugal,Portugal,2,PACF,17,0.1014,-0.1457,0.1457
Portugal,Portugal,2,PACF,18,0.0506,-0.1457,0.1457
Portugal,Portugal,2,PACF,19,-0.1726,-0.1457,0.1457
Portugal,Portugal,2,PACF,20,-0.0744,-0.1457,0.1457
Portugal,Portugal,2,PACF,21,-0.0492,-0.1457,0.1457
Portugal,Portugal,2,PACF,22,0.0547,-0.1457,0.1457
Portugal,Portugal,2,PACF,23,-0.0731,-0.1457,0.1457
Portugal,Portugal,2,PACF,24,-0.014,-0.1457,0.1457
Norte,Norte,1,ACF,0,1.0,0.0,0.0
Norte,Norte,1,ACF,1,0.5933,-0.1453,0.1453
Norte,Norte,1,ACF,2,0.4771,-0.1897,0.1897
Norte,Norte,1,ACF,3,0.285,-0.2135,0.2135
Norte,Norte,1,ACF,4,0.393,-0.2214,0.2214
Norte,Norte,1,ACF,5,0.481,-0.2356,0.2356
Norte,Norte,1,ACF,6,0.4915,-0.2555,0.2555
Norte,Norte,1,ACF,7,0.5498,-0.2748,0.2748
Norte,Norte,1,ACF,8,0.4559,-0.2971,0.2971
Norte,Norte,1,ACF,9,0.3781,-0.3115,0.3115
Norte,Norte,1,ACF,10,0.2562,-0.321,0.321
Norte,Norte,1,ACF,11,0.294,-0.3253,0.3253
Norte,Norte,1,ACF,12,0.3305,-0.3309,0.3309
Norte,Norte,1,ACF,13,0.3339,-0.3378,0.3378
