region,short_name,supply_pct,date,point
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-04-01,1714.8
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-05-01,1736.5
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-06-01,1759.1
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-07-01,1780.7
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-08-01,1804.1
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-09-01,1825.5
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-10-01,1846.9
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-11-01,1866.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2026-12-01,1885.9
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2027-01-01,1907.9
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2027-02-01,1927.3
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-50,2027-03-01,1949.0
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-04-01,1709.5
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-05-01,1731.2
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-06-01,1753.8
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-07-01,1775.4
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-08-01,1798.8
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-09-01,1820.2
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-10-01,1841.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-11-01,1861.3
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2026-12-01,1880.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2027-01-01,1902.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2027-02-01,1922.0
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-30,2027-03-01,1943.7
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-04-01,1705.5
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-05-01,1727.2
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-06-01,1749.9
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-07-01,1771.4
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-08-01,1794.8
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-09-01,1816.3
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-10-01,1837.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-11-01,1857.4
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2026-12-01,1876.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2027-01-01,1898.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2027-02-01,1918.1
Oeste e Vale do Tejo,Oeste e Vale do Tejo,-15,2027-03-01,1939.7
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-04-01,1701.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-05-01,1723.3
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-06-01,1745.9
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-07-01,1767.5
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-08-01,1790.9
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-09-01,1812.3
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-10-01,1833.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-11-01,1853.4
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2026-12-01,1872.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2027-01-01,1894.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2027-02-01,1914.1
Oeste e Vale do Tejo,Oeste e Vale do Tejo,0,2027-03-01,1935.8
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-04-01,1697.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-05-01,1719.3
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-06-01,1741.9
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-07-01,1763.5
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-08-01,1786.9
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-09-01,1808.3
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-10-01,1829.7
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-11-01,1849.4
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2026-12-01,1868.7
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2027-01-01,1890.7
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2027-02-01,1910.1
Oeste e Vale do Tejo,Oeste e Vale do Tejo,15,2027-03-01,1931.8
Oeste e Vale do Tejo,Oeste e Vale do Tejo,30,2026-04-01,1693.6
Oeste e Vale do Tejo,Oeste e Vale do Tejo,30,2026-05-01,1715.3
