date,Portugal,Norte,Centro,Oeste e Vale do Tejo,Grande Lisboa,Península de Setúbal,Alentejo,Algarve,Região Autónoma dos Açores,Região Autónoma da Madeira
1/1/2011,877,728,691,769,1177,938,833,1162,869,1090
2/1/2011,887,734,694,770,1195,944,830,1159,876,1111
3/1/2011,898,740,697,777,1201,945,837,1169,893,1123
4/1/2011,900,752,711,773,1204,953,840,1176,861,1139
5/1/2011,889,743,705,766,1196,934,826,1167,855,1098
6/1/2011,872,737,710,751,1160,930,815,1160,843,1087
7/1/2011,859,728,706,745,1143,916,813,1160,854,1076
8/1/2011,852,725,707,722,1125,924,813,1154,825,1079
9/1/2011,844,720,704,725,1135,913,807,1151,803,1085
10/1/2011,833,718,688,718,1135,899,804,1142,800,1103
11/1/2011,829,722,674,731,1121,875,797,1129,800,1087
12/1/2011,818,715,668,731,1100,862,800,1107,784,1071
1/1/2012,809,712,670,723,1085,844,792,1072,785,1008
2/1/2012,810,702,669,712,1092,843,792,1060,793,1002
3/1/2012,811,695,658,707,1083,835,778,1083,805,1000
4/1/2012,814,692,655,711,1077,833,779,1054,814,1000
5/1/2012,800,692,651,688,1056,828,757,1069,781,981
6/1/2012,791,694,649,681,1038,829,737,1041,761,972
7/1/2012,787,698,646,672,1040,825,735,1054,744,980
8/1/2012,784,697,643,669,1031,824,750,1034,750,991
9/1/2012,784,691,646,664,1023,824,752,1050,707,1020
10/1/2012,778,686,651,655,1016,824,734,1051,667,1008
11/1/2012,774,680,646,667,1000,815,726,1043,666,1023
12/1/2012,770,675,639,681,1000,798,714,996,680,1000
1/1/2013,759,662,617,691,980,794,724,980,720,1011
2/1/2013,746,653,590,684,984,781,698,949,735,971
3/1/2013,742,654,582,659,977,779,695,956,735,967
4/1/2013,748,659,592,651,979,778,679,931,746,923
5/1/2013,758,660,608,635,983,797,662,957,754,915
6/1/2013,764,660,613,651,991,808,688,976,766,917
7/1/2013,759,654,598,644,1005,810,707,976,755,988
8/1/2013,761,655,593,653,1019,805,715,981,766,968
9/1/2013,763,655,594,644,1054,803,727,977,736,998
10/1/2013,765,651,613,637,1043,822,715,1012,785,936
11/1/2013,762,653,616,637,1039,804,699,999,759,962
12/1/2013,763,660,617,643,1027,800,691,1043,784,980
1/1/2014,760,665,609,650,1049,788,710,1000,748,997
2/1/2014,752,665,610,624,1025,791,720,1000,746,962
3/1/2014,739,657,612,605,1012,788,698,940,728,930
4/1/2014,736,653,616,609,998,778,686,947,715,897
5/1/2014,738,653,613,626,1016,773,675,936,717,887
6/1/2014,748,659,607,634,1035,776,642,947,717,890
7/1/2014,763,663,615,629,1051,783,673,979,729,906
8/1/2014,775,674,616,626,1067,784,695,978,737,902
9/1/2014,772,669,625,626,1062,778,707,1000,743,893
10/1/2014,756,662,620,643,1045,772,691,942,743,876
11/1/2014,751,656,632,642,1029,770,669,948,732,891
12/1/2014,751,657,632,643,1020,782,669,932,727,908
1/1/2015,756,662,623,622,1024,782,681,939,729,919
2/1/2015,756,664,615,620,1023,791,678,923,740,887
3/1/2015,756,657,614,620,1029,792,668,938,737,889
4/1/2015,760,656,623,619,1036,800,679,933,732,882
5/1/2015,768,664,623,638,1061,793,689,963,733,912
6/1/2015,769,672,625,636,1066,793,700,951,743,899
7/1/2015,776,685,626,639,1084,800,699,957,739,909
8/1/2015,774,682,622,634,1084,804,706,962,746,874
9/1/2015,777,678,618,639,1098,819,723,996,746,906
10/1/2015,780,679,620,640,1114,812,721,1012,756,921
11/1/2015,783,684,619,642,1111,806,720,1016,763,928
12/1/2015,788,689,621,645,1123,803,704,1018,765,941
1/1/2016,785,688,617,643,1122,809,699,995,769,940
2/1/2016,785,685,627,650,1131,821,698,976,754,940
3/1/2016,788,688,629,658,1106,827,711,983,737,905
4/1/2016,794,692,632,667,1108,825,707,983,723,909
5/1/2016,800,696,640,655,1100,830,708,998,730,909
6/1/2016,803,700,636,661,1132,836,708,1000,746,910
7/1/2016,806,702,637,658,1129,844,733,1025,761,885
8/1/2016,814,710,636,662,1150,851,731,1058,769,887
9/1/2016,816,709,641,657,1156,864,718,1054,763,891
10/1/2016,820,711,647,667,1175,852,700,1042,769,915
11/1/2016,826,718,653,670,1197,849,720,1041,769,930
12/1/2016,833,729,660,670,1205,844,750,1042,774,958
1/1/2017,841,740,668,666,1219,861,763,1066,773,964
2/1/2017,847,743,674,664,1212,870,761,1072,772,960
3/1/2017,849,744,660,676,1233,879,759,1091,766,949
4/1/2017,854,744,659,689,1231,879,751,1083,783,960
5/1/2017,857,753,663,695,1249,879,763,1087,779,975
6/1/2017,860,758,679,697,1256,885,767,1093,787,975
7/1/2017,861,760,687,704,1273,892,760,1109,771,965
8/1/2017,868,764,689,711,1281,896,759,1114,752,959
9/1/2017,881,765,701,720,1317,918,760,1132,771,963
10/1/2017,886,771,705,721,1315,924,760,1152,774,979
11/1/2017,889,774,716,725,1321,935,740,1149,800,1008
12/1/2017,891,782,710,729,1352,932,746,1151,785,1009
1/1/2018,902,792,712,731,1387,950,753,1134,789,994
2/1/2018,911,796,713,720,1393,968,783,1160,793,987
3/1/2018,920,802,719,717,1383,967,772,1177,825,992
4/1/2018,924,801,710,717,1389,966,771,1189,836,1009
5/1/2018,929,808,705,730,1415,970,771,1201,831,1021
6/1/2018,932,814,714,731,1435,989,774,1214,809,1054
7/1/2018,941,827,730,736,1440,1008,776,1231,805,1040
8/1/2018,951,833,742,749,1459,1023,798,1262,824,1060
9/1/2018,959,840,743,771,1475,1032,811,1292,831,1043
10/1/2018,967,840,741,772,1481,1043,813,1316,824,1043
11/1/2018,968,840,737,766,1492,1047,789,1321,820,1025
12/1/2018,977,847,736,769,1511,1048,777,1370,827,1058
1/1/2019,983,851,739,777,1542,1050,779,1385,840,1060
2/1/2019,1000,864,750,782,1562,1057,800,1408,846,1078
3/1/2019,1006,873,761,778,1580,1053,826,1373,847,1060
4/1/2019,1015,882,764,786,1570,1058,840,1381,852,1083
5/1/2019,1023,891,767,791,1574,1071,850,1366,866,1059
6/1/2019,1030,895,769,806,1584,1091,839,1375,854,1075
7/1/2019,1044,902,770,814,1607,1114,841,1402,854,1073
8/1/2019,1054,911,776,815,1620,1121,844,1414,841,1138
9/1/2019,1066,924,780,814,1646,1132,844,1421,864,1144
10/1/2019,1069,928,782,805,1656,1132,849,1442,890,1138
11/1/2019,1076,933,786,808,1662,1145,870,1456,909,1139
12/1/2019,1091,940,795,819,1673,1151,886,1449,925,1129
1/1/2020,1103,955,802,826,1700,1174,900,1452,893,1129
2/1/2020,1111,962,812,820,1723,1189,860,1465,896,1134
3/1/2020,1110,960,808,812,1724,1202,837,1483,910,1148
4/1/2020,1111,963,823,820,1707,1216,825,1482,941,1154
5/1/2020,1114,972,838,830,1700,1228,884,1512,957,1149
6/1/2020,1119,991,851,856,1709,1243,889,1551,960,1140
7/1/2020,1127,996,833,853,1723,1247,863,1532,941,1136
8/1/2020,1128,1000,827,857,1743,1242,823,1508,921,1116
9/1/2020,1128,992,815,851,1733,1244,841,1518,927,1148
10/1/2020,1131,993,815,838,1741,1245,853,1550,932,1174
11/1/2020,1144,994,817,840,1720,1257,863,1562,947,1172
12/1/2020,1156,1000,822,844,1742,1265,853,1533,945,1182
1/1/2021,1170,1009,831,859,1749,1280,845,1528,938,1167
2/1/2021,1174,1024,831,860,1774,1289,849,1522,933,1192
3/1/2021,1187,1033,847,869,1787,1300,891,1546,967,1198
4/1/2021,1200,1039,854,869,1800,1319,895,1559,975,1226
5/1/2021,1212,1046,858,887,1810,1338,904,1559,971,1216
6/1/2021,1215,1043,851,890,1823,1346,870,1574,967,1210
7/1/2021,1221,1051,851,908,1829,1351,864,1607,971,1205
8/1/2021,1221,1050,848,891,1837,1370,862,1632,976,1244
9/1/2021,1236,1068,859,896,1855,1376,874,1659,967,1267
10/1/2021,1251,1084,860,901,1877,1398,884,1673,951,1286
11/1/2021,1272,1095,880,919,1894,1412,874,1708,952,1286
12/1/2021,1285,1102,882,923,1916,1432,867,1731,977,1271
1/1/2022,1292,1108,899,923,1950,1444,882,1780,1010,1294
2/1/2022,1314,1125,913,934,1987,1466,907,1811,1031,1292
3/1/2022,1331,1138,929,963,2000,1482,927,1800,1045,1316
4/1/2022,1356,1156,944,976,2037,1513,932,1811,1040,1312
5/1/2022,1380,1175,956,985,2085,1536,936,1840,1037,1336
6/1/2022,1407,1200,962,1000,2118,1571,957,1895,1030,1360
7/1/2022,1417,1204,966,1005,2117,1594,955,1908,1050,1371
8/1/2022,1414,1200,957,1023,2104,1606,950,1942,1078,1385
9/1/2022,1429,1203,962,1037,2140,1602,938,1954,1072,1400
10/1/2022,1420,1200,966,1056,2155,1605,950,1988,1086,1431
11/1/2022,1449,1223,995,1060,2191,1619,956,2009,1079,1463
12/1/2022,1458,1230,1006,1073,2200,1667,963,2045,1095,1487
1/1/2023,1485,1252,1011,1075,2250,1685,974,2090,1086,1502
2/1/2023,1478,1241,1001,1072,2244,1696,997,2083,1082,1500
3/1/2023,1483,1247,988,1075,2233,1696,988,2087,1054,1520
4/1/2023,1491,1257,977,1077,2225,1715,988,2083,1060,1538
5/1/2023,1510,1271,989,1100,2255,1722,989,2137,1084,1581
6/1/2023,1518,1280,1013,1100,2275,1735,1006,2145,1125,1600
7/1/2023,1525,1285,1027,1122,2282,1728,1044,2176,1124,1652
8/1/2023,1538,1295,1032,1125,2285,1737,1066,2164,1187,1705
9/1/2023,1541,1306,1028,1128,2280,1736,1090,2152,1211,1753
10/1/2023,1536,1300,1034,1140,2268,1742,1066,2109,1208,1712
11/1/2023,1530,1304,1034,1157,2265,1744,1071,2065,1202,1712
12/1/2023,1536,1313,1040,1181,2267,1753,1080,2064,1199,1718
1/1/2024,1550,1333,1049,1181,2292,1759,1095,2080,1201,1787
2/1/2024,1560,1344,1060,1188,2300,1768,1108,2118,1232,1787
3/1/2024,1580,1366,1074,1195,2312,1794,1106,2109,1238,1786
4/1/2024,1596,1371,1084,1211,2333,1818,1120,2110,1269,1796
5/1/2024,1610,1377,1094,1227,2350,1835,1097,2171,1211,1847
6/1/2024,1618,1383,1096,1246,2390,1849,1095,2195,1218,1886
7/1/2024,1638,1403,1100,1255,2411,1860,1083,2217,1226,1928
8/1/2024,1664,1429,1108,1274,2456,1886,1099,2228,1269,1929
9/1/2024,1695,1448,1112,1272,2489,1908,1094,2285,1274,1959
10/1/2024,1721,1472,1125,1288,2523,1938,1114,2321,1295,2010
11/1/2024,1740,1495,1146,1291,2559,1964,1111,2312,1324,2040
12/1/2024,1747,1498,1156,1306,2585,1979,1112,2294,1316,2000
1/1/2025,1774,1515,1177,1326,2611,2015,1132,2311,1298,2000
2/1/2025,1810,1534,1187,1352,2675,2071,1171,2367,1314,2080
3/1/2025,1847,1574,1206,1370,2717,2126,1214,2438,1340,2133
4/1/2025,1866,1600,1223,1393,2779,2178,1205,2485,1359,2191
5/1/2025,1886,1619,1231,1420,2841,2222,1204,2561,1358,2154
6/1/2025,1911,1633,1232,1456,2904,2270,1200,2574,1368,2182
7/1/2025,1945,1650,1238,1483,2956,2310,1250,2616,1386,2234
8/1/2025,1965,1668,1241,1528,2958,2351,1255,2628,1397,2285
9/1/2025,1995,1691,1265,1556,2994,2402,1289,2676,1438,2311
10/1/2025,2025,1733,1292,1583,3030,2456,1268,2692,1473,2308
11/1/2025,2060,1760,1312,1596,3091,2493,1299,2710,1529,2392
12/1/2025,2081,1785,1315,1604,3145,2520,1299,2726,1527,2409
1/1/2026,2105,1791,1326,1638,3207,2561,1324,2777,1557,2450
2/1/2026,2122,1805,1340,1649,3233,2609,1333,2817,1562,2448
3/1/2026,2151,1834,1363,1680,3278,2653,1352,2840,1575,2500
