date,Portugal,Norte,Centro,Oeste e Vale do Tejo,Grande Lisboa,Península de Setúbal,Alentejo,Algarve,Região Autónoma dos Açores,Região Autónoma da Madeira
1/1/1992,9.41,9.28,8.14,,10.14,,8.24,9.8,10.7,9.39
2/1/1992,8.83,8.49,7.97,,9.4,,8.09,9.8,10.01,9.33
3/1/1992,9.26,8.72,8.17,,10.15,,8.38,10.48,8.95,9.26
4/1/1992,10.16,10.09,9.23,,10.58,,9.78,10.76,10.18,10.84
5/1/1992,10.31,10.09,9.73,,10.68,,10.3,11.02,10.24,10.22
6/1/1992,10.02,9.27,9.7,,10.72,,9.78,10.16,10.88,9.87
7/1/1992,9.99,9.21,9.64,,10.78,,9.98,10.06,9.92,8.54
8/1/1992,9.76,8.92,9.5,,10.54,,9.92,9.77,9.21,9.01
9/1/1992,9.56,8.62,9.25,,10.52,,9.75,9.36,9.09,6.75
10/1/1992,9.33,8.43,8.79,,10.36,,9.59,8.82,9.51,6.9
11/1/1992,9.16,8.04,8.78,,10.28,,9.73,8.36,8.69,7.26
12/1/1992,8.93,7.98,8.59,,9.88,,9.76,7.95,8.57,6.94
1/1/1993,8.6,7.86,8.76,,9.09,,9.52,7.78,9.16,7.96
2/1/1993,8.15,7.66,8.13,,8.54,,8.67,7.52,8.67,7.49
3/1/1993,7.56,7.22,7.37,,7.87,,8.13,6.59,9.47,7.67
4/1/1993,6.55,5.62,6.26,,7.49,,6.27,5.69,7.46,6.25
5/1/1993,6.12,5.61,5.51,,6.97,,5.37,4.77,7.31,6.51
6/1/1993,5.95,5.75,5.08,,6.68,,5.3,4.39,7.09,6.66
7/1/1993,6.12,6.15,5.05,,6.75,,5.63,4.63,7.08,6.38
8/1/1993,6.06,6.36,5.03,,6.52,,5.13,4.4,7.46,6.28
9/1/1993,6.34,6.65,5.48,,6.76,,5.21,4.32,7.45,7.88
10/1/1993,6.54,6.78,5.67,,7.04,,5.25,4.59,8.03,7.38
11/1/1993,6.85,7.62,5.69,,7.1,,5.46,4.92,8.28,7.25
12/1/1993,6.71,7.46,5.76,,6.78,,5.55,5.33,8.11,7.54
1/1/1994,6.49,6.99,5.25,,6.93,,5.57,4.85,7.26,5.43
2/1/1994,6.28,7.1,5.09,,6.44,,5.54,4.45,7.68,5.4
3/1/1994,6.09,7.06,5.28,,5.99,,5.44,4.49,6.47,5.12
4/1/1994,6.09,6.88,5.42,,6.01,,5.6,4.54,5.73,6.99
5/1/1994,5.84,6.84,5.23,,5.47,,5.57,4.78,5.53,6.86
6/1/1994,5.75,6.76,5.18,,5.4,,5.37,4.57,5.11,6.18
7/1/1994,5.31,5.79,4.69,,5.32,,4.94,4.61,5.1,5.65
8/1/1994,5.09,5.49,4.61,,5.03,,5.18,4.74,5.27,4.83
9/1/1994,4.89,5.15,4.32,,4.9,,5.06,4.73,5.69,5.21
10/1/1994,4.73,4.86,4.28,,4.77,,5.05,4.72,5.21,5.1
11/1/1994,4.29,4.31,4.09,,4.2,,5.03,4.52,5.33,5
12/1/1994,4.34,4.45,4.01,,4.31,,4.74,4.06,5.62,5.07
1/1/1995,4.55,4.77,4.47,,4.4,,4.75,3.93,5.5,5.97
