date,Portugal
1/1/2009,5.798
2/1/2009,5.3
3/1/2009,4.76
4/1/2009,4.066
5/1/2009,3.559
6/1/2009,3.136
7/1/2009,2.768
8/1/2009,2.55
9/1/2009,2.375
10/1/2009,2.233
11/1/2009,2.093
12/1/2009,2.004
1/1/2010,1.929
2/1/2010,1.879
3/1/2010,1.882
4/1/2010,1.84
5/1/2010,1.825
6/1/2010,1.817
7/1/2010,1.828
8/1/2010,1.85
9/1/2010,1.901
10/1/2010,1.956
11/1/2010,2.015
12/1/2010,2.062
1/1/2011,2.108
2/1/2011,2.153
3/1/2011,2.179
4/1/2011,2.197
5/1/2011,2.271
6/1/2011,2.345
7/1/2011,2.437
8/1/2011,2.548
9/1/2011,2.631
10/1/2011,2.686
11/1/2011,2.716
12/1/2011,2.729
1/1/2012,2.718
2/1/2012,2.698
3/1/2012,2.62
4/1/2012,2.519
5/1/2012,2.381
6/1/2012,2.242
7/1/2012,2.133
8/1/2012,2.038
9/1/2012,1.946
10/1/2012,1.838
11/1/2012,1.708
12/1/2012,1.624
1/1/2013,1.544
2/1/2013,1.491
3/1/2013,1.458
4/1/2013,1.453
5/1/2013,1.442
6/1/2013,1.428
7/1/2013,1.425
8/1/2013,1.417
9/1/2013,1.42
10/1/2013,1.422
11/1/2013,1.425
12/1/2013,1.435
1/1/2014,1.43
2/1/2014,1.441
3/1/2014,1.458
4/1/2014,1.476
5/1/2014,1.482
6/1/2014,1.501
7/1/2014,1.516
8/1/2014,1.5
9/1/2014,1.481
10/1/2014,1.448
11/1/2014,1.409
12/1/2014,1.384
1/1/2015,1.34
2/1/2015,1.325
3/1/2015,1.314
4/1/2015,1.3
5/1/2015,1.285
6/1/2015,1.275
7/1/2015,1.257
8/1/2015,1.242
9/1/2015,1.228
10/1/2015,1.225
11/1/2015,1.219
12/1/2015,1.215
1/1/2016,1.197
2/1/2016,1.181
3/1/2016,1.163
4/1/2016,1.132
5/1/2016,1.112
6/1/2016,1.089
7/1/2016,1.066
8/1/2016,1.059
9/1/2016,1.047
10/1/2016,1.038
11/1/2016,1.032
12/1/2016,1.028
1/1/2017,1.025
2/1/2017,1.018
3/1/2017,1.016
4/1/2017,1.012
5/1/2017,1.012
6/1/2017,1.007
7/1/2017,1.009
8/1/2017,1.014
9/1/2017,1.009
10/1/2017,1.016
11/1/2017,1.017
12/1/2017,1.019
1/1/2018,1.024
2/1/2018,1.023
3/1/2018,1.025
4/1/2018,1.031
5/1/2018,1.031
6/1/2018,1.032
7/1/2018,1.038
8/1/2018,1.039
9/1/2018,1.043
10/1/2018,1.051
11/1/2018,1.049
12/1/2018,1.053
1/1/2019,1.054
2/1/2019,1.061
3/1/2019,1.066
4/1/2019,1.073
5/1/2019,1.08
6/1/2019,1.081
7/1/2019,1.087
8/1/2019,1.077
9/1/2019,1.065
10/1/2019,1.038
11/1/2019,1.017
12/1/2019,1.011
1/1/2020,1
2/1/2020,0.997
3/1/2020,0.998
4/1/2020,0.951
5/1/2020,0.906
6/1/2020,0.935
7/1/2020,0.952
8/1/2020,0.969
9/1/2020,0.969
10/1/2020,0.935
11/1/2020,0.921
12/1/2020,0.9
1/1/2021,0.877
2/1/2021,0.857
3/1/2021,0.844
4/1/2021,0.829
5/1/2021,0.824
6/1/2021,0.815
7/1/2021,0.804
8/1/2021,0.795
9/1/2021,0.788
10/1/2021,0.81
11/1/2021,0.811
12/1/2021,0.805
1/1/2022,0.801
2/1/2022,0.796
3/1/2022,0.794
4/1/2022,0.805
5/1/2022,0.826
6/1/2022,0.858
7/1/2022,0.912
8/1/2022,1.011
9/1/2022,1.144
10/1/2022,1.328
11/1/2022,1.597
12/1/2022,1.898
1/1/2023,2.183
2/1/2023,2.532
3/1/2023,2.829
4/1/2023,3.11
5/1/2023,3.398
6/1/2023,3.649
7/1/2023,3.878
8/1/2023,4.089
9/1/2023,4.27
10/1/2023,4.433
11/1/2023,4.524
12/1/2023,4.593
1/1/2024,4.657
2/1/2024,4.641
3/1/2024,4.613
4/1/2024,4.606
5/1/2024,4.556
6/1/2024,4.513
7/1/2024,4.487
8/1/2024,4.417
9/1/2024,4.362
10/1/2024,4.277
11/1/2024,4.186
12/1/2024,4.091
1/1/2025,3.984
2/1/2025,3.83
3/1/2025,3.735
4/1/2025,3.663
5/1/2025,3.57
6/1/2025,3.479
7/1/2025,3.385
8/1/2025,3.307
9/1/2025,3.228
10/1/2025,3.18
11/1/2025,3.133
12/1/2025,3.13
1/1/2026,3.111
2/1/2026,3.079
3/1/2026,3.088
