date,Portugal,Norte,Centro,Oeste e Vale do Tejo,Grande Lisboa,Península de Setúbal,Alentejo,Algarve,Região Autónoma dos Açores,Região Autónoma da Madeira
1/1/2004,17136,6055,3533,1689,1502,1156,587,1650,319,645
4/1/2004,19039,5499,2641,1912,3733,1151,861,2157,301,784
7/1/2004,17933,5786,3097,1793,2748,1436,610,1781,239,443
10/1/2004,20153,7265,3912,1484,2371,1521,741,1708,414,737
1/1/2005,19881,6738,3196,1668,2730,1406,786,2441,325,591
4/1/2005,18840,6345,3216,1805,2008,1419,823,2297,413,514
7/1/2005,19450,6541,3560,1544,1550,1356,884,2172,460,1383
10/1/2005,17952,6005,3388,1594,1782,1304,674,2295,358,552
1/1/2006,15815,4710,2682,1286,2247,1098,667,1872,364,889
4/1/2006,17147,5520,2555,1464,1914,1382,872,2018,435,987
7/1/2006,17792,5549,2962,1390,2127,1358,706,2822,386,492
10/1/2006,18010,6112,3116,1499,2369,1305,595,1731,374,909
1/1/2007,16974,4751,2799,1415,2723,1468,558,2242,322,696
4/1/2007,16917,4882,2606,1472,2077,1353,818,1903,320,1486
7/1/2007,17342,5221,2731,1518,2489,1286,881,2196,315,705
10/1/2007,16230,4956,2673,1317,2479,1167,599,1979,664,396
1/1/2008,13863,3843,2520,1303,2083,1199,462,1770,413,270
4/1/2008,15916,4391,2353,1447,2345,1634,621,1963,603,559
7/1/2008,15516,5351,2340,1370,1898,1182,837,1886,320,332
10/1/2008,13961,4176,2336,1464,1991,1134,503,1597,497,263
1/1/2009,11784,3535,1912,887,1998,887,437,1570,205,353
4/1/2009,12021,3564,1953,975,1861,995,512,1368,459,334
7/1/2009,12573,4103,2020,1182,1635,968,518,1498,257,392
10/1/2009,11537,3911,1821,1001,1536,831,404,1300,248,485
1/1/2010,8994,2944,1427,658,978,757,367,993,153,717
4/1/2010,8247,2670,1558,773,1122,539,363,900,126,196
7/1/2010,9981,3626,1727,828,1407,568,274,1023,167,361
10/1/2010,8220,2911,1559,796,905,451,426,581,131,460
1/1/2011,6839,2448,1185,657,1009,443,291,440,189,177
4/1/2011,6693,2414,1292,573,747,454,310,585,183,135
7/1/2011,6717,2250,1416,639,615,639,218,662,144,134
10/1/2011,6133,2199,1331,597,609,299,269,442,184,203
1/1/2012,5349,1901,1078,453,719,285,319,380,112,102
4/1/2012,4761,1753,1034,378,610,279,225,289,100,93
7/1/2012,5023,1959,929,459,669,317,174,252,166,98
10/1/2012,4551,1702,958,371,553,209,251,277,160,70
1/1/2013,3824,1420,697,271,477,212,117,305,142,183
4/1/2013,3119,1175,686,288,222,177,112,221,181,57
7/1/2013,3089,1240,661,240,384,112,162,131,84,75
10/1/2013,2719,1116,525,243,376,108,139,85,80,47
1/1/2014,2160,839,430,241,237,137,65,119,49,43
4/1/2014,2046,898,455,161,209,69,72,75,54,53
7/1/2014,2031,827,469,164,143,72,130,132,51,43
10/1/2014,2076,810,424,165,192,74,132,214,31,34
1/1/2015,1941,746,376,156,217,108,84,172,55,27
4/1/2015,1897,738,421,121,117,155,69,145,102,29
7/1/2015,1627,709,326,130,139,75,70,109,45,24
10/1/2015,1683,685,322,147,154,111,74,110,34,46
1/1/2016,1785,755,368,182,98,148,64,75,33,62
4/1/2016,1792,677,396,133,121,113,148,121,55,28
7/1/2016,2006,778,402,201,103,121,79,252,57,13
10/1/2016,2326,1052,465,205,151,171,69,96,76,41
1/1/2017,2144,802,597,174,89,181,57,116,54,74
4/1/2017,2094,789,442,242,214,109,89,141,49,19
7/1/2017,1816,672,310,171,122,203,70,193,53,22
10/1/2017,2159,820,410,206,207,181,96,137,54,48
1/1/2018,2412,826,524,281,234,204,92,143,65,43
4/1/2018,2608,1124,466,221,184,186,97,251,52,27
7/1/2018,3025,1251,518,266,213,344,105,169,103,56
10/1/2018,2706,874,585,218,286,393,86,145,65,54
1/1/2019,2987,1029,605,215,363,334,90,240,65,46
4/1/2019,3092,1134,625,265,322,296,103,209,87,51
7/1/2019,3399,1399,638,218,317,282,120,278,76,71
10/1/2019,3476,1441,599,207,358,316,101,208,119,127
1/1/2020,3848,1605,454,282,425,415,176,266,88,137
4/1/2020,4344,2021,723,291,429,399,101,245,71,64
7/1/2020,4281,1891,708,387,407,420,131,194,83,60
10/1/2020,4450,1892,777,423,322,410,143,228,102,153
1/1/2021,4805,2134,604,315,597,527,142,318,94,74
4/1/2021,4474,1771,676,316,587,552,154,261,89,68
7/1/2021,5356,2504,825,297,614,381,138,294,168,135
10/1/2021,5119,2239,714,364,752,432,109,291,116,102
1/1/2022,5323,2182,808,402,885,481,128,244,97,96
4/1/2022,5134,2153,757,334,745,407,140,316,123,159
7/1/2022,4920,2184,823,370,584,400,147,252,82,78
10/1/2022,5395,2254,830,383,862,357,121,242,91,255
1/1/2023,5866,2618,873,392,717,508,121,378,166,93
4/1/2023,5737,2474,807,438,965,464,160,196,112,121
7/1/2023,5926,2523,733,446,695,492,182,511,125,219
10/1/2023,5556,2389,931,447,494,450,121,380,117,227
1/1/2024,5760,2592,908,488,520,436,127,314,120,255
4/1/2024,6861,2880,965,469,890,593,208,624,108,124
7/1/2024,6316,2726,958,487,754,451,186,370,192,192
10/1/2024,6374,2402,917,616,724,604,135,500,121,355
1/1/2025,6686,2770,965,462,1053,569,159,363,119,226
4/1/2025,6558,3018,1000,488,806,545,119,216,81,285
7/1/2025,6868,3340,1146,487,633,530,150,279,106,197
10/1/2025,6602,2964,888,488,812,606,198,304,116,226
