date,Portugal,Norte,Centro,Oeste e Vale do Tejo,Grande Lisboa,Península de Setúbal,Alentejo,Algarve,Região Autónoma dos Açores,Região Autónoma da Madeira
1/1/2011,13.1,13.6,9.9,13.5,13.4,14.4,13.7,17.4,9.6,14.7
4/1/2011,12.9,13.6,9.5,13,13.5,14.3,12.1,15,9.7,14.4
7/1/2011,13.3,13.7,9.5,13.6,13.8,17.2,12.9,13.6,11.7,14.9
10/1/2011,14.7,15,12.8,14.7,14.3,16.6,14,17.8,15.2,14
1/1/2012,15.7,16.2,13,14.7,16.2,17.1,15.1,20.2,14.3,17.1
4/1/2012,15.8,16,11.7,15.2,16.7,20.4,14.9,17.8,15.8,17.8
7/1/2012,16.7,17.5,13.5,15,17.1,20.1,17.8,15.1,15.8,18.6
10/1/2012,17.8,19,13.1,16.5,17.6,22.2,17.2,19.8,16.3,20.7
1/1/2013,18.5,19.7,14.6,16.4,18.2,23.2,17.8,20.7,17.2,21.1
4/1/2013,17.5,18.6,12.9,14.8,18,23.4,18.1,17.1,16.4,20
7/1/2013,16.5,17.8,12.9,12.7,17.7,19.3,16.4,14.2,18.1,18
10/1/2013,16.1,17.4,11.6,13.2,16.9,18.4,15.2,17.5,17.5,18.2
1/1/2014,15.8,16.8,12.2,13.3,15.3,20.1,15.9,18.9,18.3,17.3
4/1/2014,14.6,15.8,11.5,12.6,15,15.8,14.8,14,16.1,16.7
7/1/2014,13.7,15,11.5,11.7,13.6,15.5,13.2,11.5,15.9,14
10/1/2014,14,14.7,11.2,13.6,13,17,14.4,15.3,15.5,16
1/1/2015,14.3,14.7,11.9,13.7,13.3,17.1,15.5,16.8,14.8,16.5
4/1/2015,12.4,14,9.1,10.7,11.9,15.2,13.7,11,11.2,14.2
7/1/2015,12.3,14.2,8.8,10.1,11.9,15.1,12.3,10.3,12,15.5
10/1/2015,12.6,14,9.8,11.3,11.7,14.7,12.3,13.1,12.5,15.3
1/1/2016,12.9,13.7,9.5,12.3,13.8,14.4,12.1,12.4,12.2,14.9
4/1/2016,11.2,12.1,8.3,11.7,11.4,12.6,12.3,8.2,11,13.6
7/1/2016,10.9,12.3,8.3,9.8,11,11.1,12.7,7.4,10.6,13.9
10/1/2016,10.8,11.8,7.9,9.8,10.7,13.5,11.2,9.6,10.3,11.5
1/1/2017,10.4,11.3,8.8,8.1,10.3,12.2,10,10.8,9.2,13.1
4/1/2017,9.2,9.8,7.5,7.9,9,10.6,9.4,7.7,10.1,11.5
7/1/2017,8.8,9.6,6.8,8.1,8.7,12.4,8.6,5.2,8.2,9.6
10/1/2017,8.3,9.5,6.1,6.7,7.1,11.7,9.6,7.4,8.1,9.1
1/1/2018,8.1,8.3,6.8,6.5,7.6,11.5,8.4,7.7,8.9,9.1
4/1/2018,7,7.4,5.9,5.2,7.2,7.5,7.9,5.3,8.1,8.7
7/1/2018,6.9,7.3,5.9,5.3,6.5,9.2,7.6,5.1,8.6,9.2
10/1/2018,6.8,6.8,5.6,6.8,6,8.5,7.8,7.8,8.2,9
1/1/2019,6.9,7,4.7,5.9,6.9,10.5,6.2,9.6,8.3,7.5
4/1/2019,6.4,6.4,5,5,6.5,8.7,7.1,6.7,8,7.1
7/1/2019,6.3,6.7,4.9,5.4,6.3,6.7,7.7,5.3,7.3,7.4
10/1/2019,6.8,7.2,5.7,5,7.1,7.5,8.2,6.7,7.5,7.2
1/1/2020,6.9,6.9,6.8,5.1,7.3,7,7,7.5,7.1,5.7
4/1/2020,5.7,5.7,4.5,4.7,6.5,6.9,3.9,7.3,4.7,6.6
7/1/2020,8.2,8.2,6.2,6.9,9.5,10.9,6.5,8.5,6.6,8.6
10/1/2020,7.3,7.1,5.9,6,9,6.1,6.9,10,5.4,10.5
1/1/2021,7.2,7.3,5.4,8.1,7.1,7.4,7,10.4,6.5,9.3
4/1/2021,6.9,6.5,5.6,6.4,7,9.2,7.8,10.3,6.7,8.1
7/1/2021,6.3,6.3,5.2,4.9,6.9,8.6,6.4,6.1,6.7,7.3
10/1/2021,6.4,6.5,5.1,4.6,6.2,9.6,6.1,7.3,8.1,6.3
1/1/2022,6,5.5,5.2,5.1,6.6,9.4,5.2,7.3,6.5,7
4/1/2022,5.9,5.6,4.5,6.1,6.5,9.3,4.6,5.5,6.2,7.1
7/1/2022,5.9,5.8,3.7,5.2,6.6,11.1,4.4,4.6,6.1,6.1
10/1/2022,6.7,6.8,5.5,5.6,7.4,8.7,5.2,6.3,5.6,6.9
1/1/2023,7.2,7.6,5.8,5.3,7.2,10.2,7.3,7.1,6.3,6.5
4/1/2023,6.1,6.4,4.8,5.3,6.9,7.5,4.7,5.1,6.7,6.4
7/1/2023,6.1,6.7,5,5.5,6,7.9,5.7,4.6,6,4.9
10/1/2023,6.6,7.3,5.7,5.3,6.5,7.6,6,5.9,6.9,6.1
1/1/2024,6.8,6.8,6.5,7.1,6.6,8,6.2,7.8,6.7,5.9
4/1/2024,6.1,6.3,5.2,5.9,6.4,8,5.2,5,5.5,5.2
7/1/2024,6.1,6.2,5.7,7.5,5.6,8.2,5.9,4.5,4.9,5.7
10/1/2024,6.7,6.9,5.8,6.2,7.4,7.7,5.8,5.6,5.4,5.7
1/1/2025,6.6,6.8,5.1,5.9,6.8,8.5,5.8,8.1,5.7,6.7
4/1/2025,5.9,6.1,5.1,4.8,6.5,8.6,4.9,4.5,3.9,4.8
7/1/2025,5.8,6.1,5.1,4.6,6.2,6.9,5.2,4.5,4.8,5.3
10/1/2025,5.8,6,4.5,5.2,5.8,8,5.9,5.3,5.1,4.9
1/1/2026,6.1,6,5,5.6,7.4,6.8,5.5,6.7,5.4,4.5
